Identifiant PRM;Type de donnees;Date de debut;Date de fin;Grandeur physique;Grandeur metier;Etape metier;Unite;Pas en minutes
25316931878675;Courbe de charge;27/09/2021;26/09/2022;Energie active;Consommation;Comptage Brut;W;
Horodate;Valeur
2022-05-12T01:00:00+02:00;1945
2022-05-12T02:00:00+02:00;1869
2022-05-12T03:00:00+02:00;1693
2022-05-12T04:00:00+02:00;1469
2022-05-12T05:00:00+02:00;1625
2022-05-12T06:00:00+02:00;2092
2022-05-12T07:00:00+02:00;2170
2022-05-12T08:00:00+02:00;2169
2022-05-12T09:00:00+02:00;3546
2022-05-12T10:00:00+02:00;4537
2022-05-12T11:00:00+02:00;4906
2022-05-12T12:00:00+02:00;4684
2022-05-12T13:00:00+02:00;3548
2022-05-12T14:00:00+02:00;5063
2022-05-12T15:00:00+02:00;4504
2022-05-12T16:00:00+02:00;4302
2022-05-12T17:00:00+02:00;4496
2022-05-12T18:00:00+02:00;3494
2022-05-12T19:00:00+02:00;2721
2022-05-12T20:00:00+02:00;2434
2022-05-12T21:00:00+02:00;2374
2022-05-12T22:00:00+02:00;2100
2022-05-12T23:00:00+02:00;1366
2022-05-13T00:00:00+02:00;1377
2022-05-13T01:00:00+02:00;1198
2022-05-13T02:00:00+02:00;1168
2022-05-13T03:00:00+02:00;1280
2022-05-13T04:00:00+02:00;1104
2022-05-13T05:00:00+02:00;1299
2022-05-13T06:00:00+02:00;1865
2022-05-13T07:00:00+02:00;1893
2022-05-13T08:00:00+02:00;2457
2022-05-13T09:00:00+02:00;3153
2022-05-13T10:00:00+02:00;3680
2022-05-13T11:00:00+02:00;3941
2022-05-13T12:00:00+02:00;4006
2022-05-13T13:00:00+02:00;3709
2022-05-13T14:00:00+02:00;3541
2022-05-13T15:00:00+02:00;3510
2022-05-13T16:00:00+02:00;3239
2022-05-13T17:00:00+02:00;3218
2022-05-13T18:00:00+02:00;2045
2022-05-13T19:00:00+02:00;1147
2022-05-13T20:00:00+02:00;1001
2022-05-13T21:00:00+02:00;989
2022-05-13T22:00:00+02:00;986
2022-05-13T23:00:00+02:00;1014
2022-05-14T00:00:00+02:00;1069
2022-05-14T01:00:00+02:00;981
2022-05-14T02:00:00+02:00;974
2022-05-14T03:00:00+02:00;977
2022-05-14T04:00:00+02:00;976
2022-05-14T05:00:00+02:00;1193
2022-05-14T06:00:00+02:00;1739
2022-05-14T07:00:00+02:00;1721
2022-05-14T08:00:00+02:00;1627
2022-05-14T09:00:00+02:00;1878
2022-05-14T10:00:00+02:00;919
2022-05-14T11:00:00+02:00;828
2022-05-14T12:00:00+02:00;973
2022-05-14T13:00:00+02:00;834
2022-05-14T14:00:00+02:00;954
2022-05-14T15:00:00+02:00;784
2022-05-14T16:00:00+02:00;972
2022-05-14T17:00:00+02:00;934
2022-05-14T18:00:00+02:00;987
2022-05-14T19:00:00+02:00;1139
2022-05-14T20:00:00+02:00;987
2022-05-14T21:00:00+02:00;1018
2022-05-14T22:00:00+02:00;1128
2022-05-14T23:00:00+02:00;1005
2022-05-15T00:00:00+02:00;1118
2022-05-15T01:00:00+02:00;1019
2022-05-15T02:00:00+02:00;1078
2022-05-15T03:00:00+02:00;1041
2022-05-15T04:00:00+02:00;975
2022-05-15T05:00:00+02:00;1026
2022-05-15T06:00:00+02:00;1050
2022-05-15T07:00:00+02:00;974
2022-05-15T08:00:00+02:00;918
2022-05-15T09:00:00+02:00;991
2022-05-15T10:00:00+02:00;956
2022-05-15T11:00:00+02:00;948
2022-05-15T12:00:00+02:00;933
2022-05-15T13:00:00+02:00;954
2022-05-15T14:00:00+02:00;908
2022-05-15T15:00:00+02:00;881
2022-05-15T16:00:00+02:00;986
2022-05-15T17:00:00+02:00;941
2022-05-15T18:00:00+02:00;1062
2022-05-15T19:00:00+02:00;1079
2022-05-15T20:00:00+02:00;1182
2022-05-15T21:00:00+02:00;1041
2022-05-15T22:00:00+02:00;1204
2022-05-15T23:00:00+02:00;1047
2022-05-16T00:00:00+02:00;1195
2022-05-16T01:00:00+02:00;1069
2022-05-16T02:00:00+02:00;1126
2022-05-16T03:00:00+02:00;1175
2022-05-16T04:00:00+02:00;1040
2022-05-16T05:00:00+02:00;1332
2022-05-16T06:00:00+02:00;1915
2022-05-16T07:00:00+02:00;1793
2022-05-16T08:00:00+02:00;2119
2022-05-16T09:00:00+02:00;3843
2022-05-16T10:00:00+02:00;4604
2022-05-16T11:00:00+02:00;4935
2022-05-16T12:00:00+02:00;5488
2022-05-16T13:00:00+02:00;4446
2022-05-16T14:00:00+02:00;4665
2022-05-16T15:00:00+02:00;4330
2022-05-16T16:00:00+02:00;4187
2022-05-16T17:00:00+02:00;3675
2022-05-16T18:00:00+02:00;3511
2022-05-16T19:00:00+02:00;2129
2022-05-16T20:00:00+02:00;1975
2022-05-16T21:00:00+02:00;1869
2022-05-16T22:00:00+02:00;1806
2022-05-16T23:00:00+02:00;1809
2022-05-17T00:00:00+02:00;1624
2022-05-17T01:00:00+02:00;1701
2022-05-17T02:00:00+02:00;1460
2022-05-17T03:00:00+02:00;1476
2022-05-17T04:00:00+02:00;1486
2022-05-17T05:00:00+02:00;1312
2022-05-17T06:00:00+02:00;1952
2022-05-17T07:00:00+02:00;1882
2022-05-17T08:00:00+02:00;1868
2022-05-17T09:00:00+02:00;3677
2022-05-17T10:00:00+02:00;4303
2022-05-17T11:00:00+02:00;4318
2022-05-17T12:00:00+02:00;4648
2022-05-17T13:00:00+02:00;3808
2022-05-17T14:00:00+02:00;4354
2022-05-17T15:00:00+02:00;3871
2022-05-17T16:00:00+02:00;3804
2022-05-17T17:00:00+02:00;3466
2022-05-17T18:00:00+02:00;3236
2022-05-17T19:00:00+02:00;3011
2022-05-17T20:00:00+02:00;2663
2022-05-17T21:00:00+02:00;2263
2022-05-17T22:00:00+02:00;2122
2022-05-17T23:00:00+02:00;2122
2022-05-18T00:00:00+02:00;2015
2022-05-18T01:00:00+02:00;2053
2022-05-18T02:00:00+02:00;1915
2022-05-18T03:00:00+02:00;1853
2022-05-18T04:00:00+02:00;1880
2022-05-18T05:00:00+02:00;1988
2022-05-18T06:00:00+02:00;2431
2022-05-18T07:00:00+02:00;3366
2022-05-18T08:00:00+02:00;3731
2022-05-18T09:00:00+02:00;4345
2022-05-18T10:00:00+02:00;5239
2022-05-18T11:00:00+02:00;5403
2022-05-18T12:00:00+02:00;5425
2022-05-18T13:00:00+02:00;4333
2022-05-18T14:00:00+02:00;4966
2022-05-18T15:00:00+02:00;5485
2022-05-18T16:00:00+02:00;5352
2022-05-18T17:00:00+02:00;5638
2022-05-18T18:00:00+02:00;5031
2022-05-18T19:00:00+02:00;4386
2022-05-18T20:00:00+02:00;3901
2022-05-18T21:00:00+02:00;3384
2022-05-18T22:00:00+02:00;3130
2022-05-18T23:00:00+02:00;2803
2022-05-19T00:00:00+02:00;2861
2022-05-19T01:00:00+02:00;2229
2022-05-19T02:00:00+02:00;2389
2022-05-19T03:00:00+02:00;2047
2022-05-19T04:00:00+02:00;2003
2022-05-19T05:00:00+02:00;2163
2022-05-19T06:00:00+02:00;2777
2022-05-19T07:00:00+02:00;2703
2022-05-19T08:00:00+02:00;3015
2022-05-19T09:00:00+02:00;4972
2022-05-19T10:00:00+02:00;5416
2022-05-19T11:00:00+02:00;5271
2022-05-19T12:00:00+02:00;5677
2022-05-19T13:00:00+02:00;4934
2022-05-19T14:00:00+02:00;4110
2022-05-19T15:00:00+02:00;3910
2022-05-19T16:00:00+02:00;3621
2022-05-19T17:00:00+02:00;4224
2022-05-19T18:00:00+02:00;3212
2022-05-19T19:00:00+02:00;2011
2022-05-19T20:00:00+02:00;1646
2022-05-19T21:00:00+02:00;1849
2022-05-19T22:00:00+02:00;1487
2022-05-19T23:00:00+02:00;1658
2022-05-20T00:00:00+02:00;1594
2022-05-20T01:00:00+02:00;1528
2022-05-20T02:00:00+02:00;1561
2022-05-20T03:00:00+02:00;1559
2022-05-20T04:00:00+02:00;1285
2022-05-20T05:00:00+02:00;1613
2022-05-20T06:00:00+02:00;2266
2022-05-20T07:00:00+02:00;2361
2022-05-20T08:00:00+02:00;2499
2022-05-20T09:00:00+02:00;4413
2022-05-20T10:00:00+02:00;5628
2022-05-20T11:00:00+02:00;5585
2022-05-20T12:00:00+02:00;5283
2022-05-20T13:00:00+02:00;4475
2022-05-20T14:00:00+02:00;3761
2022-05-20T15:00:00+02:00;3880
2022-05-20T16:00:00+02:00;3707
2022-05-20T17:00:00+02:00;3590
2022-05-20T18:00:00+02:00;3149
2022-05-20T19:00:00+02:00;2585
2022-05-20T20:00:00+02:00;1643
2022-05-20T21:00:00+02:00;1737
2022-05-20T22:00:00+02:00;1613
2022-05-20T23:00:00+02:00;1524
2022-05-21T00:00:00+02:00;1543
2022-05-21T01:00:00+02:00;1641
2022-05-21T02:00:00+02:00;1465
2022-05-21T03:00:00+02:00;1368
2022-05-21T04:00:00+02:00;1343
2022-05-21T05:00:00+02:00;1438
2022-05-21T06:00:00+02:00;1275
2022-05-21T07:00:00+02:00;1351
2022-05-21T08:00:00+02:00;1367
2022-05-21T09:00:00+02:00;1347
2022-05-21T10:00:00+02:00;1287
2022-05-21T11:00:00+02:00;1319
2022-05-21T12:00:00+02:00;1477
2022-05-21T13:00:00+02:00;1572
2022-05-21T14:00:00+02:00;1553
2022-05-21T15:00:00+02:00;1594
2022-05-21T16:00:00+02:00;1581
2022-05-21T17:00:00+02:00;1603
2022-05-21T18:00:00+02:00;1742
2022-05-21T19:00:00+02:00;1697
2022-05-21T20:00:00+02:00;1608
2022-05-21T21:00:00+02:00;1586
2022-05-21T22:00:00+02:00;1525
2022-05-21T23:00:00+02:00;1600
2022-05-22T00:00:00+02:00;1547
2022-05-22T01:00:00+02:00;1535
2022-05-22T02:00:00+02:00;1454
2022-05-22T03:00:00+02:00;1408
2022-05-22T04:00:00+02:00;1415
2022-05-22T05:00:00+02:00;1351
2022-05-22T06:00:00+02:00;1288
2022-05-22T07:00:00+02:00;1252
2022-05-22T08:00:00+02:00;1188
2022-05-22T09:00:00+02:00;1143
2022-05-22T10:00:00+02:00;1272
2022-05-22T11:00:00+02:00;1295
2022-05-22T12:00:00+02:00;1355
2022-05-22T13:00:00+02:00;1304
2022-05-22T14:00:00+02:00;1658
2022-05-22T15:00:00+02:00;1685
2022-05-22T16:00:00+02:00;1706
2022-05-22T17:00:00+02:00;1667
2022-05-22T18:00:00+02:00;1690
2022-05-22T19:00:00+02:00;1752
2022-05-22T20:00:00+02:00;1723
2022-05-22T21:00:00+02:00;1566
2022-05-22T22:00:00+02:00;1556
2022-05-22T23:00:00+02:00;1632
2022-05-23T00:00:00+02:00;1598
2022-05-23T01:00:00+02:00;1577
2022-05-23T02:00:00+02:00;1565
2022-05-23T03:00:00+02:00;1443
2022-05-23T04:00:00+02:00;1339
2022-05-23T05:00:00+02:00;1469
2022-05-23T06:00:00+02:00;2329
2022-05-23T07:00:00+02:00;1977
2022-05-23T08:00:00+02:00;2094
2022-05-23T09:00:00+02:00;3667
2022-05-23T10:00:00+02:00;4097
2022-05-23T11:00:00+02:00;4835
2022-05-23T12:00:00+02:00;5642
2022-05-23T13:00:00+02:00;5231
2022-05-23T14:00:00+02:00;4617
2022-05-23T15:00:00+02:00;5263
2022-05-23T16:00:00+02:00;5097
2022-05-23T17:00:00+02:00;4884
2022-05-23T18:00:00+02:00;4314
2022-05-23T19:00:00+02:00;3483
2022-05-23T20:00:00+02:00;2705
2022-05-23T21:00:00+02:00;2167
2022-05-23T22:00:00+02:00;2080
2022-05-23T23:00:00+02:00;2150
2022-05-24T00:00:00+02:00;1961
2022-05-24T01:00:00+02:00;1730
2022-05-24T02:00:00+02:00;1979
2022-05-24T03:00:00+02:00;1902
2022-05-24T04:00:00+02:00;1814
2022-05-24T05:00:00+02:00;1811
2022-05-24T06:00:00+02:00;2354
2022-05-24T07:00:00+02:00;2645
2022-05-24T08:00:00+02:00;2784
2022-05-24T09:00:00+02:00;3927
2022-05-24T10:00:00+02:00;4730
2022-05-24T11:00:00+02:00;5702
2022-05-24T12:00:00+02:00;6300
2022-05-24T13:00:00+02:00;5096
2022-05-24T14:00:00+02:00;4694
2022-05-24T15:00:00+02:00;4737
2022-05-24T16:00:00+02:00;4787
2022-05-24T17:00:00+02:00;4638
2022-05-24T18:00:00+02:00;3289
2022-05-24T19:00:00+02:00;1400
2022-05-24T20:00:00+02:00;1363
2022-05-24T21:00:00+02:00;1289
2022-05-24T22:00:00+02:00;1209
2022-05-24T23:00:00+02:00;1211
2022-05-25T00:00:00+02:00;1201
2022-05-25T01:00:00+02:00;1200
2022-05-25T02:00:00+02:00;1197
2022-05-25T03:00:00+02:00;1186
2022-05-25T04:00:00+02:00;1201
2022-05-25T05:00:00+02:00;1131
2022-05-25T06:00:00+02:00;1549
2022-05-25T07:00:00+02:00;2185
