measurementDate,value,measurementHour
25-06-2019,2506,23:00
26-06-2019,2547,00:00
26-06-2019,3671,01:00
26-06-2019,2577,02:00
26-06-2019,2384,03:00
26-06-2019,2379,04:00
26-06-2019,2448,05:00
26-06-2019,2606,06:00
26-06-2019,2253,07:00
26-06-2019,764,08:00
26-06-2019,198,09:00
26-06-2019,544,10:00
26-06-2019,1403,11:00
26-06-2019,2624,12:00
26-06-2019,2271,13:00
26-06-2019,1042,14:00
26-06-2019,183,15:00
26-06-2019,190,16:00
26-06-2019,862,17:00
26-06-2019,793,18:00
26-06-2019,792,19:00
26-06-2019,781,20:00
26-06-2019,779,21:00
26-06-2019,888,22:00
26-06-2019,823,23:00
27-06-2019,934,00:00
27-06-2019,2339,01:00
27-06-2019,1786,02:00
27-06-2019,2436,03:00
27-06-2019,2440,04:00
27-06-2019,2626,05:00
27-06-2019,3183,06:00
27-06-2019,1741,07:00
27-06-2019,1864,08:00
27-06-2019,807,09:00
27-06-2019,1756,10:00
27-06-2019,862,11:00
27-06-2019,2228,12:00
27-06-2019,2237,13:00
27-06-2019,1025,14:00
27-06-2019,580,15:00
27-06-2019,542,16:00
27-06-2019,1318,17:00
27-06-2019,1083,18:00
27-06-2019,1030,19:00
27-06-2019,1011,20:00
27-06-2019,912,21:00
27-06-2019,825,22:00
27-06-2019,942,23:00
28-06-2019,1896,00:00
28-06-2019,4229,01:00
28-06-2019,3654,02:00
28-06-2019,2627,03:00
28-06-2019,2443,04:00
28-06-2019,2496,05:00
28-06-2019,2655,06:00
28-06-2019,2283,07:00
28-06-2019,475,08:00
28-06-2019,712,09:00
28-06-2019,271,10:00
28-06-2019,515,11:00
28-06-2019,2340,12:00
28-06-2019,1397,13:00
28-06-2019,383,14:00
28-06-2019,166,15:00
28-06-2019,161,16:00
28-06-2019,1259,17:00
28-06-2019,1116,18:00
28-06-2019,951,19:00
28-06-2019,1087,20:00
28-06-2019,859,21:00
28-06-2019,809,22:00
28-06-2019,905,23:00
29-06-2019,927,00:00
29-06-2019,1921,01:00
29-06-2019,895,02:00
29-06-2019,2127,03:00
29-06-2019,2484,04:00
29-06-2019,3552,05:00
29-06-2019,2604,06:00
29-06-2019,1473,07:00
29-06-2019,150,08:00
29-06-2019,160,09:00
29-06-2019,567,10:00
29-06-2019,1628,11:00
29-06-2019,3871,12:00
29-06-2019,1801,13:00
29-06-2019,1900,14:00
29-06-2019,167,15:00
29-06-2019,372,16:00
29-06-2019,1099,17:00
29-06-2019,1567,18:00
29-06-2019,3974,19:00
29-06-2019,4400,20:00
29-06-2019,5698,21:00
29-06-2019,5555,22:00
29-06-2019,5457,23:00
30-06-2019,5920,00:00
30-06-2019,7241,01:00
30-06-2019,5998,02:00
30-06-2019,5963,03:00
30-06-2019,5499,04:00
30-06-2019,5538,05:00
30-06-2019,5496,06:00
30-06-2019,2674,07:00
30-06-2019,126,08:00
30-06-2019,129,09:00
30-06-2019,132,10:00
30-06-2019,517,11:00
30-06-2019,2226,12:00
30-06-2019,1850,13:00
30-06-2019,465,14:00
30-06-2019,129,15:00
30-06-2019,343,16:00
30-06-2019,2112,17:00
30-06-2019,2446,18:00
30-06-2019,2583,19:00
30-06-2019,2486,20:00
30-06-2019,2420,21:00
30-06-2019,2400,22:00
30-06-2019,2378,23:00
01-07-2019,2507,00:00
01-07-2019,4374,01:00
01-07-2019,2953,02:00
01-07-2019,2409,03:00
01-07-2019,2868,04:00
01-07-2019,2499,05:00
01-07-2019,2801,06:00
01-07-2019,1902,07:00
01-07-2019,199,08:00
01-07-2019,332,09:00
01-07-2019,510,10:00
01-07-2019,343,11:00
01-07-2019,3028,12:00
01-07-2019,2465,13:00
01-07-2019,1697,14:00
01-07-2019,449,15:00
01-07-2019,155,16:00
01-07-2019,729,17:00
01-07-2019,917,18:00
01-07-2019,2307,19:00
01-07-2019,2826,20:00
01-07-2019,2741,21:00
01-07-2019,2423,22:00
01-07-2019,2435,23:00
02-07-2019,2541,00:00
02-07-2019,4195,01:00
02-07-2019,3233,02:00
02-07-2019,2497,03:00
02-07-2019,2425,04:00
02-07-2019,3305,05:00
02-07-2019,2584,06:00
02-07-2019,1522,07:00
02-07-2019,130,08:00
02-07-2019,158,09:00
02-07-2019,170,10:00
02-07-2019,727,11:00
02-07-2019,2112,12:00
02-07-2019,1054,13:00
02-07-2019,1264,14:00
02-07-2019,590,15:00
02-07-2019,605,16:00
02-07-2019,1400,17:00
02-07-2019,1067,18:00
02-07-2019,1196,19:00
02-07-2019,1442,20:00
02-07-2019,1940,21:00
02-07-2019,871,22:00
02-07-2019,754,23:00
03-07-2019,874,00:00
03-07-2019,2768,01:00
03-07-2019,1855,02:00
03-07-2019,798,03:00
03-07-2019,1236,04:00
03-07-2019,2005,05:00
03-07-2019,2593,06:00
03-07-2019,932,07:00
03-07-2019,167,08:00
03-07-2019,754,09:00
03-07-2019,271,10:00
03-07-2019,1700,11:00
03-07-2019,2781,12:00
03-07-2019,2695,13:00
03-07-2019,557,14:00
03-07-2019,141,15:00
03-07-2019,927,16:00
03-07-2019,1200,17:00
03-07-2019,937,18:00
03-07-2019,1150,19:00
03-07-2019,1111,20:00
03-07-2019,982,21:00
03-07-2019,849,22:00
03-07-2019,823,23:00
04-07-2019,936,00:00
04-07-2019,2911,01:00
04-07-2019,1968,02:00
04-07-2019,930,03:00
04-07-2019,1246,04:00
04-07-2019,1928,05:00
04-07-2019,3407,06:00
04-07-2019,1541,07:00
04-07-2019,191,08:00
04-07-2019,192,09:00
04-07-2019,313,10:00
04-07-2019,783,11:00
04-07-2019,2267,12:00
04-07-2019,3192,13:00
04-07-2019,707,14:00
04-07-2019,1209,15:00
04-07-2019,236,16:00
04-07-2019,2957,17:00
04-07-2019,2653,18:00
04-07-2019,2622,19:00
04-07-2019,2809,20:00
04-07-2019,2554,21:00
04-07-2019,2454,22:00
04-07-2019,2064,23:00
05-07-2019,920,00:00
05-07-2019,2595,01:00
05-07-2019,1472,02:00
05-07-2019,828,03:00
05-07-2019,794,04:00
05-07-2019,1445,05:00
05-07-2019,3360,06:00
05-07-2019,1521,07:00
05-07-2019,216,08:00
05-07-2019,578,09:00
05-07-2019,556,10:00
05-07-2019,899,11:00
05-07-2019,3359,12:00
05-07-2019,2076,13:00
05-07-2019,453,14:00
05-07-2019,2573,15:00
05-07-2019,3834,16:00
05-07-2019,4046,17:00
05-07-2019,4000,18:00
05-07-2019,4412,19:00
05-07-2019,4193,20:00
05-07-2019,4113,21:00
05-07-2019,3989,22:00
05-07-2019,3922,23:00
06-07-2019,4044,00:00
06-07-2019,5938,01:00
06-07-2019,5181,02:00
06-07-2019,4483,03:00
06-07-2019,4883,04:00
06-07-2019,6811,05:00
06-07-2019,5049,06:00
06-07-2019,1452,07:00
06-07-2019,280,08:00
06-07-2019,374,09:00
06-07-2019,168,10:00
06-07-2019,397,11:00
06-07-2019,1188,12:00
06-07-2019,213,13:00
06-07-2019,128,14:00
06-07-2019,164,15:00
06-07-2019,126,16:00
06-07-2019,824,17:00
06-07-2019,1799,18:00
06-07-2019,1304,19:00
06-07-2019,954,20:00
06-07-2019,1377,21:00
06-07-2019,820,22:00
06-07-2019,804,23:00
07-07-2019,927,00:00
07-07-2019,2574,01:00
07-07-2019,1482,02:00
07-07-2019,1514,03:00
07-07-2019,2424,04:00
07-07-2019,2522,05:00
07-07-2019,2696,06:00
07-07-2019,2360,07:00
07-07-2019,241,08:00
