month,day,hour,value
Jan,1,01:00,0.0
Jan,1,02:00,0.0
Jan,1,03:00,0.0
Jan,1,04:00,0.0
Jan,1,05:00,0.0
Jan,1,06:00,0.0
Jan,1,07:00,0.0
Jan,1,08:00,0.0
Jan,1,09:00,0.01
Jan,1,10:00,0.26
Jan,1,11:00,0.92
Jan,1,12:00,1.57
Jan,1,13:00,1.85
Jan,1,14:00,1.76
Jan,1,15:00,1.42
Jan,1,16:00,0.82
Jan,1,17:00,0.14
Jan,1,18:00,0.0
Jan,1,19:00,0.0
Jan,1,20:00,0.0
Jan,1,21:00,0.0
Jan,1,22:00,0.0
Jan,1,23:00,0.0
Jan,2,00:00,0.0
Jan,2,01:00,0.0
Jan,2,02:00,0.0
Jan,2,03:00,0.0
Jan,2,04:00,0.0
Jan,2,05:00,0.0
Jan,2,06:00,0.0
Jan,2,07:00,0.0
Jan,2,08:00,0.0
Jan,2,09:00,0.02
Jan,2,10:00,0.26
Jan,2,11:00,0.95
Jan,2,12:00,1.6
Jan,2,13:00,1.82
Jan,2,14:00,1.79
Jan,2,15:00,1.45
Jan,2,16:00,0.85
Jan,2,17:00,0.15
Jan,2,18:00,0.0
Jan,2,19:00,0.0
Jan,2,20:00,0.0
Jan,2,21:00,0.0
Jan,2,22:00,0.0
Jan,2,23:00,0.0
Jan,3,00:00,0.0
Jan,3,01:00,0.0
Jan,3,02:00,0.0
Jan,3,03:00,0.0
Jan,3,04:00,0.0
Jan,3,05:00,0.0
Jan,3,06:00,0.0
Jan,3,07:00,0.0
Jan,3,08:00,0.0
Jan,3,09:00,0.03
Jan,3,10:00,0.38
Jan,3,11:00,0.77
Jan,3,12:00,1.05
Jan,3,13:00,1.01
Jan,3,14:00,1.44
Jan,3,15:00,1.33
Jan,3,16:00,0.84
Jan,3,17:00,0.15
Jan,3,18:00,0.0
Jan,3,19:00,0.0
Jan,3,20:00,0.0
Jan,3,21:00,0.0
Jan,3,22:00,0.0
Jan,3,23:00,0.0
Jan,4,00:00,0.0
Jan,4,01:00,0.0
Jan,4,02:00,0.0
Jan,4,03:00,0.0
Jan,4,04:00,0.0
Jan,4,05:00,0.0
Jan,4,06:00,0.0
Jan,4,07:00,0.0
Jan,4,08:00,0.0
Jan,4,09:00,0.03
Jan,4,10:00,0.39
Jan,4,11:00,0.98
Jan,4,12:00,1.54
Jan,4,13:00,1.79
Jan,4,14:00,1.61
Jan,4,15:00,1.08
Jan,4,16:00,0.42
Jan,4,17:00,0.08
Jan,4,18:00,0.0
Jan,4,19:00,0.0
Jan,4,20:00,0.0
Jan,4,21:00,0.0
Jan,4,22:00,0.0
Jan,4,23:00,0.0
Jan,5,00:00,0.0
Jan,5,01:00,0.0
Jan,5,02:00,0.0
Jan,5,03:00,0.0
Jan,5,04:00,0.0
Jan,5,05:00,0.0
Jan,5,06:00,0.0
Jan,5,07:00,0.0
Jan,5,08:00,0.0
Jan,5,09:00,0.01
Jan,5,10:00,0.25
Jan,5,11:00,0.58
Jan,5,12:00,0.88
Jan,5,13:00,1.01
Jan,5,14:00,1.26
Jan,5,15:00,1.14
Jan,5,16:00,0.74
Jan,5,17:00,0.17
Jan,5,18:00,0.0
Jan,5,19:00,0.0
Jan,5,20:00,0.0
Jan,5,21:00,0.0
Jan,5,22:00,0.0
Jan,5,23:00,0.0
Jan,6,00:00,0.0
Jan,6,01:00,0.0
Jan,6,02:00,0.0
Jan,6,03:00,0.0
Jan,6,04:00,0.0
Jan,6,05:00,0.0
Jan,6,06:00,0.0
Jan,6,07:00,0.0
